instance_id,n,algorithm,clustering_method,num_clusters,iterations,seed,reference_type,reference_length,solution_length,relative_to_reference,compute_seconds,valid_tour
5,1000,clustered_sa,hierarchical,22,32000,606,,,36.182681276344944,,0.13484707299994625,True
5,1000,clustered_sa,spectral,22,32000,606,,,36.99841854997686,,0.356297760000416,True
5,1000,clustered_sa,greedy,32,32000,606,,,34.86735673300622,,0.12792489500043303,True
5,1000,clustered_sa,kmeans,32,32000,606,,,33.08005154122078,,0.18668573800005106,True
5,1000,clustered_sa,hierarchical,32,32000,606,,,33.41556614829358,,0.14128854900081933,True
5,1000,clustered_sa,spectral,32,32000,606,,,34.469280621050466,,0.40009722499962663,True
5,1000,clustered_sa,greedy,44,32000,606,,,32.75999416551213,,0.145523341999251,True
5,1000,clustered_sa,kmeans,44,32000,606,,,31.493886438827317,,0.2132707010005106,True
5,1000,clustered_sa,hierarchical,44,32000,606,,,31.657928559971968,,0.13797867599987512,True
5,1000,clustered_sa,spectral,44,32000,606,,,32.52818161161485,,0.3831082469996545,True
5,1000,clustered_sa,greedy,64,32000,606,,,32.27643585101431,,0.15056942000046547,True
5,1000,clustered_sa,kmeans,64,32000,606,,,30.8786634262169,,0.26804222999999183,True
5,1000,clustered_sa,hierarchical,64,32000,606,,,30.826310430005368,,0.14527307899970765,True
5,1000,clustered_sa,spectral,64,32000,606,,,31.770484543568145,,0.4185803480004324,True
6,1000,clustered_sa,greedy,16,32000,707,,,44.933871140961635,,0.1318193289998817,True
6,1000,clustered_sa,kmeans,16,32000,707,,,41.37162513217287,,0.17662922799991065,True
6,1000,clustered_sa,hierarchical,16,32000,707,,,41.23048922362481,,0.13998505199924693,True
6,1000,clustered_sa,spectral,16,32000,707,,,41.580631452486905,,0.36427627000011853,True
6,1000,clustered_sa,greedy,22,32000,707,,,40.25223282482924,,0.12365360200055875,True
6,1000,clustered_sa,kmeans,22,32000,707,,,37.369330513462785,,0.210937754999577,True
6,1000,clustered_sa,hierarchical,22,32000,707,,,37.635571980530074,,0.14842222700008278,True
6,1000,clustered_sa,spectral,22,32000,707,,,36.8997714863561,,0.3377588189996459,True
6,1000,clustered_sa,greedy,32,32000,707,,,37.21727419949062,,0.12875583599998208,True
6,1000,clustered_sa,kmeans,32,32000,707,,,33.89547185295085,,0.2181729820003966,True
6,1000,clustered_sa,hierarchical,32,32000,707,,,34.136400622627875,,0.17591456399986782,True
6,1000,clustered_sa,spectral,32,32000,707,,,34.7466368319518,,0.44205295699975977,True
6,1000,clustered_sa,greedy,44,32000,707,,,35.02787773981018,,0.15784065599928,True
6,1000,clustered_sa,kmeans,44,32000,707,,,32.311345293352986,,0.21419690400034597,True
6,1000,clustered_sa,hierarchical,44,32000,707,,,31.540619248785,,0.17847517000063817,True
6,1000,clustered_sa,spectral,44,32000,707,,,32.062369674562675,,0.3896793270005219,True
6,1000,clustered_sa,greedy,64,32000,707,,,33.763412600319306,,0.15497490300003847,True
6,1000,clustered_sa,kmeans,64,32000,707,,,31.89491501036254,,0.2134707779996461,True
6,1000,clustered_sa,hierarchical,64,32000,707,,,31.723090702107868,,0.14921115299966914,True
6,1000,clustered_sa,spectral,64,32000,707,,,32.97833431387654,,0.4356901229994037,True
7,1000,clustered_sa,greedy,16,32000,808,,,42.964182180363316,,0.13671317100033775,True
7,1000,clustered_sa,kmeans,16,32000,808,,,40.16944932841101,,0.16438736800046172,True
7,1000,clustered_sa,hierarchical,16,32000,808,,,40.735051680329576,,0.13323988199954329,True
7,1000,clustered_sa,spectral,16,32000,808,,,41.32376743407683,,0.3417957629999364,True
7,1000,clustered_sa,greedy,22,32000,808,,,39.240944414182195,,0.12075790499966388,True
7,1000,clustered_sa,kmeans,22,32000,808,,,37.01896307296529,,0.1639048869992621,True
7,1000,clustered_sa,hierarchical,22,32000,808,,,37.495248361437156,,0.1504498220001551,True
7,1000,clustered_sa,spectral,22,32000,808,,,37.86263926709615,,0.3756809599999542,True
7,1000,clustered_sa,greedy,32,32000,808,,,35.036379930241814,,0.1369122600008268,True
7,1000,clustered_sa,kmeans,32,32000,808,,,33.94899413244687,,0.18462670699955197,True
7,1000,clustered_sa,hierarchical,32,32000,808,,,33.59413639582233,,0.13461528799962252,True
7,1000,clustered_sa,spectral,32,32000,808,,,34.947292212272366,,0.3517842350001956,True
7,1000,clustered_sa,greedy,44,32000,808,,,33.60488966024672,,0.1320028199997978,True
7,1000,clustered_sa,kmeans,44,32000,808,,,31.87221647240741,,0.20894207800029108,True
7,1000,clustered_sa,hierarchical,44,32000,808,,,31.492838223674166,,0.1422636209999837,True
7,1000,clustered_sa,spectral,44,32000,808,,,32.503618527789484,,0.36619835599958606,True
7,1000,clustered_sa,greedy,64,32000,808,,,33.42367920954977,,0.141001592000066,True
7,1000,clustered_sa,kmeans,64,32000,808,,,31.569288936129023,,0.2601119529999778,True
7,1000,clustered_sa,hierarchical,64,32000,808,,,31.654149758980704,,0.1521177530003115,True
7,1000,clustered_sa,spectral,64,32000,808,,,31.935994640054176,,0.6530708700001924,True
